Save for Later


134 seconds
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1962,19660426:0900,20.4,24,17.1,24,16.8,24,-,-,-,D
1962,19660427:0900,23.4,24,13.9,24,12.1,24,-,-,-,D
1962,19660428:0900,18.6,24,10.0,24,5.7,24,-,-,-,D
1962,19660429:0900,18.8,24,13.2,24,12.8,24,-,-,-,D
1962,19660430:0900,18.6,24,14.9,24,13.8,24,-,-,-,D
1962,19660501:0900,20.8,24,13.3,24,9.4,24,-,-,-,D
1962,19660502:0900,19.1,24,13.0,24,11.6,24,-,-,-,D
1962,19660503:0900,19.8,24,13.0,24,12.6,24,-,-,-,D
1962,19660504:0900,16.1,24,9.8,24,8.2,24,-,-,-,D
1962,19660505:0900,18.6,24,9.1,24,7.0,24,-,-,-,D
1962,19660506:0900,17.8,24,6.8,24,2.1,24,-,-,-,D
1962,19660507:0900,17.2,24,9.8,24,6.1,24,-,-,-,D
1962,19660508:0900,17.8,24,9.6,24,4.4,24,-,-,-,D
1962,19660509:0900,18.3,24,11.7,24,6.1,24,-,-,-,D
1962,19660510:0900,18.4,24,12.8,24,8.4,24,-,-,-,D
1962,19660511:0900,17.6,24,11.1,24,8.7,24,-,-,-,D
1962,19660512:0900,18.3,24,8.2,24,3.8,24,-,-,-,D
1962,19660513:0900,18.8,24,10.7,24,11.2,24,-,-,-,D
1962,19660514:0900,15.9,24,11.1,24,9.9,24,-,-,-,D
1962,19660515:0900,15.6,24,3.8,24,-1.1,24,-,-,-,D
1962,19660516:0900,15.1,24,7.3,24,5.6,24,-,-,-,D
1962,19660517:0900,17.9,24,11.3,24,10.2,24,-,-,-,D
1962,19660518:0900,15.6,24,5.3,24,1.8,24,-,-,-,D
1962,19660519:0900,12.7,24,5.4,24,0.1,24,-,-,-,D
1962,19660520:0900,12.8,24,8.7,24,7.0,24,-,-,-,D
1962,19660521:0900,13.3,24,4.0,24,-0.4,24,-,-,-,D
1962,19660522:0900,13.8,24,4.6,24,1.2,24,-,-,-,D
1962,19660523:0900,15.4,24,6.1,24,7.2,24,-,-,-,D
1962,19660524:0900,14.9,24,9.3,24,8.7,24,-,-,-,D
1962,19660525:0900,15.1,24,10.5,24,7.8,24,-,-,-,D
1962,19660526:0900,14.0,24,5.7,24,1.7,24,-,-,-,D
1962,19660527:0900,14.4,24,5.6,24,0.6,24,-,-,-,D
1962,19660528:0900,14.9,24,8.3,24,8.3,24,-,-,-,D
1962,19660529:0900,14.1,24,7.3,24,5.4,24,-,-,-,D
1962,19660530:0900,13.3,24,4.3,24,0.8,24,-,-,-,D
1962,19660531:0900,15.7,24,10.2,24,7.3,24,-,-,-,D
